# schiff.py generated official result file
Name,date played, games played, my wins, my losses, my bads, your errors, your unexpected, my win ratio
None, 2024-06-10T20:34:35.739862, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-06-10T20:34:42.535527, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-06-10T20:35:31.304181, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-06-10T20:38:38.579065, 7, 0, 0, 6, 0, 0, 0.000000
None, 2024-06-10T20:39:26.206897, 3, 0, 0, 2, 0, 0, 0.000000
None, 2024-06-11T00:31:59.114970, 3, 0, 0, 0, 2, 0, 0.000000
None, 2024-06-11T01:35:23.989104, 9, 1, 0, 0, 6, 1, 0.111111
None, 2024-06-11T01:36:34.775775, 7, 1, 0, 0, 4, 1, 0.142857
None, 2024-06-11T01:44:36.139416, 5, 0, 0, 0, 0, 4, 0.000000
None, 2024-06-11T01:45:11.986035, 4, 2, 1, 0, 0, 0, 0.500000
None, 2024-06-11T01:49:30.300626, 4, 1, 1, 0, 0, 1, 0.250000
None, 2024-06-11T01:53:12.668513, 3, 1, 0, 0, 0, 1, 0.333333
None, 2024-06-11T02:01:50.305984, 4, 0, 0, 1, 0, 2, 0.000000
None, 2024-06-11T02:02:29.515702, 2, 0, 1, 0, 0, 0, 0.000000
None, 2024-06-11T09:53:41.772606, 4, 2, 1, 0, 0, 0, 0.500000
None, 2024-06-11T09:59:28.474346, 7, 2, 2, 0, 0, 2, 0.285714
None, 2024-06-11T10:33:56.606157, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-06-11T10:34:02.492219, 1, 0, 0, 0, 0, 0, 0.000000
None, 2024-06-11T10:38:37.153212, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-06-11T11:06:35.941222, 2, 0, 1, 0, 0, 0, 0.000000
None, 2024-06-11T11:18:45.030953, 2, 0, 1, 0, 0, 0, 0.000000
None, 2024-06-11T11:53:20.750082, 8, 0, 0, 0, 0, 7, 0.000000
None, 2024-06-11T11:53:28.319048, 3, 0, 0, 0, 0, 2, 0.000000
None, 2024-06-11T12:14:23.334768, 2, 0, 0, 0, 0, 1, 0.000000
None, 2024-06-11T17:33:28.291134, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-06-11T17:39:46.571292, 2, 0, 0, 0, 1, 0, 0.000000
None, 2024-06-11T17:45:44.874102, 7, 0, 0, 0, 0, 6, 0.000000
None, 2024-06-11T22:32:46.026344, 5, 0, 4, 0, 0, 0, 0.000000
